title,publication_date,category,subcategory,url,summary
Europe heatwave puts Paris on red alert as parts of UK face possible 35C highs,2025-06-30 12:41:00.000,live,news,https://bbc.comhttps://www.bbc.com/news/live/cd0v29vydx4t,Two people have died in Italy and tens of thousands of people have been evacuated as wildfires rage in western Turkey.
Manila mayor warns of health emergency over mounting rubbish,2025-07-01 12:48:57.357,article,news,https://bbc.com/news/articles/cn86611480no,Newly-elected mayor Francisco Domagoso has advised residents to refrain from taking out their rubbish.
"Trump global aid cuts risk 14 million deaths in five years, report says",2025-07-01 08:55:32.295,article,news,https://bbc.com/news/articles/cx2jjpm7zv8o,"The figure from the Lancet, a leading medical journal, includes 700,000 child deaths globally a year. "
BBC Verify Live: Fires and damage in Russian-occupied Ukraine after strikes,2025-07-01 15:23:00.000,live,news,https://bbc.comhttps://www.bbc.com/news/live/c9vrrymm10nt,"Latest updates from the BBC's specialists in fact-checking, verifying video and tackling disinformation."
Trans troops in US military 'in survival mode' as ban on serving kicks in,2025-07-01 06:40:29.442,article,news,https://bbc.com/news/articles/cvgwwv3k5wxo,Two transgender officers say they fear their military careers are over due to Trump’s ban on trans service members.  
'I lost a baby and then rescued a child dodging air strikes in Sudan's civil war',2025-07-01 11:01:58.418,article,news,https://bbc.com/news/articles/cvgee0q590qo,A 19-year-old tells the BBC how she miscarried as she fled attacks in the western Darfur region.
'Every word has come back to haunt me': China cracks down on women who write gay erotica,2025-06-30 05:28:50.729,article,news,https://bbc.com/news/articles/c056nle2drno,"At least 30 writers have been arrested across the country since February, a lawyer tells the BBC."
'We're not safe here anymore' - Syria's Christians fear for future after devastating church attack,2025-07-01 00:55:52.512,article,news,https://bbc.com/news/articles/c79q8p8qx1do,Many Christians in Syria fear the new Islamist-led government is not doing enough to protect them.
'I can't hear it' - Wimbledon's first day of electronic calling,2025-07-01 03:23:48.513,article,sport,https://bbc.com/sport/tennis/articles/c4geedn44x1o,Some players have said the calls are too quiet. Others say they miss the tradition. How has the first day of electronic line-calling gone at Wimbledon?
Watch: Humanoid robots stumble through football match in China,2025-06-30 12:03:01.007,video,clip news,https://bbc.com/news/videos/c5ylkyrkjnzo,"The robots kicked, scored and tumbled while competing at a tourmentant in Beijing."
Watch: Industrial chimneys crash down in controlled demolition,2025-07-01 02:19:54.351,video,clip news,https://bbc.com/news/videos/cwyqq3xdrgro,"The 500 and 800ft (152 and 244m) towers had been in place for 61 years in Claxton, Tennessee."
Here's what the jury in Diddy's sex trafficking trial is considering,2025-06-30 22:24:04.183,video,clip news,https://bbc.com/news/videos/c335zj80ymmo,The BBC’s Nada Tawfik reports from Manhattan as jurors begin deliberating the allegations against Diddy.
Death toll in India factory blast rises to 34,2025-07-01 13:01:36.897,article,news,https://bbc.com/news/articles/ce8zz67qm9go,Several workers were injured and killed in a blast at the unit of Sigachi Industries in Telangana state.
"Royal train to be taken out of service to cut costs, Buckingham Palace says",2025-07-01 04:01:57.175,article,news,https://bbc.com/news/articles/ce377nr5r43o,The announcement has come alongside the annual publication of royal finances.
Dozens of Ghanaians trafficked in job scam rescued in Nigeria,2025-07-01 15:22:28.845,article,news,https://bbc.com/news/articles/cvg44pjyj3do,"The victims, mostly young men, were lured with promises of football contracts or other jobs abroad."
Millions of 'lovebugs' swarm hikers in South Korea,2025-07-01 13:44:11.924,video,clip news,https://bbc.com/news/videos/c5ylld834mko,"A hiker who filmed the infestation told local media the bugs at Gyeyangsan mountain were like a ""thick carpet""."
Idaho gunman in deadly ambush of fire crews had 'idolised' firefighters,2025-07-01 00:54:54.510,article,news,https://bbc.com/news/articles/c15wwvggk80o,The suspect deliberately lit a fire to lure first responders to a mountainous area near Coeur d'Alene.
"UK F-35 parts exports to Israel are lawful, High Court rules",2025-07-01 03:32:59.092,article,news,https://bbc.com/news/articles/c4g88rgenlvo,The court has rejected a challenge brought by human rights groups.
"When you think you've won $380k, but it's $38",2025-07-01 04:22:51.380,video,clip news,https://bbc.com/news/videos/c1k888881pro,A couple have told the BBC about considering getting married after believing they had won a small fortune.
Father jumps off Disney cruise ship to save daughter who fell overboard,2025-07-01 05:01:21.295,article,news,https://bbc.com/news/articles/c6288v6j4y0o,"Crew members were able to quickly rescue the pair, who were on the last day of a Disney cruise to the Bahamas."
US Senate holds marathon vote on Trump's 'big beautiful bill',2025-06-30 21:09:37.583,article,news,https://bbc.com/news/articles/czjkkdyplymo,"Senators are debating a nearly 1,000-page bill that is pivotal to President Donald Trump's domestic agenda."
Thai prime minister suspended over leaked phone call,2025-07-01 13:44:07.968,article,news,https://bbc.com/news/articles/c9vrrj72xy7o,Paetongtarn Shinawatra has been suspended as the constitutional court considers a petition for her removal.
Hundreds of kids to be tested for disease after childcare rape charge,2025-07-01 10:24:00.722,article,news,https://bbc.com/news/articles/cg4rr2g3072o,"An Australian man has been charged with 70 offences, which police allege relate to eight children."
"Is the 'big, beautiful' India-US trade deal in trouble?",2025-07-01 13:40:48.800,article,news,https://bbc.com/news/articles/c625504qp3go,"With days to go before 9 July, when the tariff pause ends, hopes persist but negotiations are tough."
BBC investigation reveals hidden deaths at India festival crush,2025-07-01 04:21:56.135,article,news,https://bbc.com/news/articles/cr5v2my4mz9o,"The Uttar Pradesh government says 37 people were killed in the Kumbh Mela crush, but the BBC has verified at least 82 deaths."
Is RFK Jr's divisive plan to Make America Healthy Again fearmongering - or revolutionary?,2025-07-01 06:04:11.118,article,news,https://bbc.com/news/articles/ceq7jx3dlj9o,The most powerful public health official in the US is reviled by some medics - but even some of his critics accept that he is bringing drive to healthcare areas that have long been neglected
Singapore police can now seize bank accounts to stop scams,2025-07-01 14:08:17.524,article,news,https://bbc.com/news/articles/c2k1148dwdwo,"The new law was passed to combat Singapore's worsening scam problem, but some have said it is too intrusive."
"As Squid Game ends, South Koreans return to the reality that inspired it",2025-07-01 05:39:22.690,article,news,https://bbc.com/news/articles/cvg665pyn82o,The show's themes of unemployment and inequality are all too relatable for Korean viewers.
"US-Israeli backed Gaza aid group must be shut down, say 130 charities",2025-07-01 12:02:06.652,article,news,https://bbc.com/news/articles/cn5kk1w00xyo,The call from some of the world's top aid organisations and charities comes after reports of soldiers killing hundreds of of Palestinians at aid sites.
Al-Hilal 'climb Everest' - but 'worrying signs' for Man City,2025-07-01 13:43:25.355,article,sport,https://bbc.com/sport/football/articles/c4gddvdg7p3o,"Saudi Arabia have spent billions in bidding to become a world football force - and in beating Manchester City at the Club World Cup, ""climbed Mount Everest without oxygen"" according to their manager."
"'I am a rugby player - but that is what I do, not who I am'",2025-07-01 12:44:51.855,article,sport,https://bbc.com/sport/rugby-union/articles/c0j4gy963y4o,"British and Irish Lions captain Maro Itoje says rugby is ""what I do, not who I am"". Outside of the arena, he is driven by faith, charity, politics and art."
"Draper, Djokovic, Gauff, Sinner & more heat - Tuesday preview",2025-07-01 03:02:54.651,article,sport,https://bbc.com/sport/tennis/articles/cn866y0vye9o,Everything you need to know about day two at Wimbledon as British number one Jack Draper and seven-time champion Novak Djokovic begin their campaigns. 
Manchester City knocked out of the Club World Cup by Al-Hilal - reaction,2025-07-01 13:10:00.000,live,sport,https://bbc.comhttps://www.bbc.com/sport/football/live/c4gddp639evt,All the latest reaction as Manchester City are knocked out of the Club World Cup after a 4-3 extra-time defeat by Saudi Arabian club Al-Hilal in the last 16.
Is it conceivable that Mercedes could drop Russell for Verstappen?,2025-07-01 14:32:41.331,article,sport,https://bbc.com/sport/formula1/articles/c4g82xy1439o,BBC Sport F1 correspondent Andrew Benson answers your latest questions before the British Grand Prix.
Spain seek success after fallout of sexism scandal,2025-07-01 15:02:18.547,article,sport,https://bbc.com/sport/football/articles/c2e3l08xe71o,Have things changed for the better in Spain and are the world champions entering a new era as they begin their pursuit of a European crown?
"Latest Lion in Australia, Kinghorn's wake-up call for captain Itoje",2025-07-01 15:00:16.629,article,sport,https://bbc.com/sport/rugby-union/articles/cpqnny30rw4o,"Blair Kinghorn explains how he woke his Lions captain up as the last squad member to arrive in Australia, having won the Top 14 at the weekend."
